Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2714       -19        3666      
2          EmptikVariantsBot         2671       -16        181       
3          ToromBot                  2657       -11        353       
4          RaspFish                  2551       26         599       
5          EmptikBot                 2508       -68        30        
6          SimplerEval               1878       22         225       
7          OpeningsBot               1785       -19        102       
8          pawnrobot                 1352       -22        837       
